Nome: SAO PAULO - INTERLAGOS
Codigo Estacao: A771
Latitude: -23.724501
Longitude: -46.677501
Altitude: 771
Situacao: Operante
Data Inicial: 2022-01-01
Data Final: 2022-06-30
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);
2022-01-22;1500;28,4;
2022-01-22;1600;29,2;
2022-01-22;1700;30,1;
2022-01-22;1800;26,8;
2022-01-22;1900;25,2;
2022-01-22;2000;23,4;
2022-01-22;2100;22,3;
2022-01-22;2200;22,2;
2022-01-22;2300;21,8;
2022-01-23;0000;21,6;
2022-01-23;0100;20,7;
2022-01-23;0200;20;
2022-01-23;0300;20,3;
2022-01-23;0400;20,2;
2022-01-23;0500;20,2;
2022-01-23;0600;20,1;
2022-01-23;0700;20;
2022-01-23;0800;20,1;
2022-01-23;0900;19,8;
2022-01-23;1000;20,7;
2022-01-23;1100;23,3;
2022-01-23;1200;25,5;
2022-01-23;1300;27,1;
2022-01-23;1400;27,1;
2022-01-23;1500;28,6;
2022-01-23;1600;30,4;
2022-01-23;1700;25,7;
2022-01-23;1800;23,5;
2022-01-23;1900;23;
2022-01-23;2000;22,7;
2022-01-23;2100;22,9;
2022-01-23;2200;22,4;
2022-01-23;2300;22,1;
2022-01-24;0000;21,7;
2022-01-24;0100;21,3;
2022-01-24;0200;21,1;
2022-01-24;0300;21,3;
2022-01-24;0400;21,4;
2022-01-24;0500;21,2;
2022-01-24;0600;21,6;
2022-01-24;0700;21,6;
2022-01-24;0800;21,6;
2022-01-24;0900;21,5;
2022-01-24;1000;22,9;
2022-01-24;1100;24,1;
2022-01-24;1200;25,4;
2022-01-24;1300;28,2;
2022-01-24;1400;30,1;
2022-01-24;1500;32;
2022-01-24;1600;26,4;
2022-01-24;1700;25,1;
2022-01-24;1800;23,7;
2022-01-24;1900;22,5;
2022-01-24;2000;22,6;
2022-01-24;2100;22,3;
2022-01-24;2200;22;
2022-01-24;2300;22,3;
2022-01-25;0000;22;
2022-01-25;0100;22,3;
2022-01-25;0200;22,6;
2022-01-25;0300;21,9;
2022-01-25;0400;21,4;
2022-01-25;0500;21,2;
2022-01-25;0600;21;
2022-01-25;0700;20,6;
2022-01-25;0800;20,3;
2022-01-25;0900;20,5;
2022-01-25;1000;21,1;
2022-01-25;1100;23,3;
2022-01-25;1200;25,5;
2022-01-25;1300;28,3;
2022-01-25;1400;28,8;
2022-01-25;1500;30,3;
2022-01-25;1600;30,4;
2022-01-25;1700;25,9;
2022-01-25;1800;23,9;
2022-01-25;1900;22,9;
2022-01-25;2000;22,7;
2022-01-25;2100;22,4;
2022-01-25;2200;22,1;
2022-01-25;2300;21,8;
2022-01-26;0000;21,8;
2022-01-26;0100;21,9;
2022-01-26;0200;21,5;
2022-01-26;0300;21,6;
2022-01-26;0400;21,8;
2022-01-26;0500;22,2;
2022-01-26;0600;21,9;
2022-01-26;0700;21,5;
2022-01-26;0800;21,4;
2022-01-26;0900;21;
2022-01-26;1000;23,3;
2022-01-26;1100;25,4;
2022-01-26;1200;26,5;
2022-01-26;1300;29;
2022-01-26;1400;30,1;
2022-01-26;1500;32;
2022-01-26;1600;31,7;
2022-01-26;1700;30;
2022-01-26;1800;32,3;
2022-01-26;1900;31,9;
2022-01-26;2000;29,4;
2022-01-26;2100;27,8;
2022-01-26;2200;25,7;
2022-01-26;2300;24,8;
2022-01-27;0000;23,7;
2022-01-27;0100;22,7;
2022-01-27;0200;22,5;
2022-01-27;0300;23;
2022-01-27;0400;22,5;
2022-01-27;0500;21,9;
2022-01-27;0600;21,3;
2022-01-27;0700;21,2;
2022-01-27;0800;20,9;
2022-01-27;0900;21,1;
2022-01-27;1000;22,7;
2022-01-27;1100;24,5;
2022-01-27;1200;26,3;
2022-01-27;1300;28,3;
2022-01-27;1400;29,8;
2022-01-27;1500;30,9;
2022-01-27;1600;32,3;
2022-01-27;1700;31,8;
2022-01-27;1800;33;
2022-01-27;1900;31,8;
2022-01-27;2000;31,2;
2022-01-27;2100;24,5;
2022-01-27;2200;22,5;
2022-01-27;2300;20,9;
2022-01-28;0000;20,7;
2022-01-28;0100;20,7;
2022-01-28;0200;20,8;
2022-01-28;0300;21;
2022-01-28;0400;20,9;
2022-01-28;0500;19,2;
2022-01-28;0600;19,3;
2022-01-28;0700;19,6;
2022-01-28;0800;19,7;
2022-01-28;0900;20,6;
2022-01-28;1000;20,3;
2022-01-28;1100;20,6;
2022-01-28;1200;22,2;
2022-01-28;1300;23,6;
2022-01-28;1400;24,3;
2022-01-28;1500;23,5;
2022-01-28;1600;22,6;
2022-01-28;1700;23,4;
2022-01-28;1800;22,4;
2022-01-28;1900;22,6;
2022-01-28;2000;21,6;
2022-01-28;2100;20,3;
